86,-53,69,42
22,43,-25,58
90,13,66,-82
60,33,58,17
-72,21,-64,-30
41,95,60,80
83,-69,83,87
20,-34,33,55
75,-95,67,46
-6,54,-100,-53
9,-40,-35,-42
-61,-59,-41,20
-16,-42,26,-79
-52,24,92,-4
12,72,89,17
-42,-61,55,34
23,-92,-18,-20
-93,73,-93,-93
82,-61,-22,61
-75,-26,66,-18
-1,-92,7,-70
44,35,-53,75
5,-97,87,-15
24,-98,-41,21
-13,-43,58,98
-82,-45,72,92
-61,-62,-84,39
-65,-80,-23,40
-66,-36,-39,5
-16,-34,-69,82
-70,-36,32,-35
21,53,28,75
49,-56,-10,-60
17,-91,61,-75
-3,68,39,-72
12,-88,78,-47
36,74,-18,7
79,-10,-49,-87
17,18,-9,-13
-65,70,-56,-21
-6,60,22,4
-9,32,3,-43
-96,70,-99,-44
-15,35,85,-14
-84,-90,1,-49
-91,67,-59,-30
-100,90,-24,-65
-8,-72,-63,65
-25,94,32,-58
-22,2,76,15
41,11,37,78
67,-85,-77,-33
-59,13,-49,-83
58,-80,81,-18
62,50,26,-58
-11,-39,59,5
-3,-12,-4,77
-34,39,-48,-44
90,-36,-60,43
77,-75,-91,-60
-31,-18,-85,-88
63,-10,45,37
-11,-91,32,-10
-34,-10,90,-99
-60,-14,-71,-1
-81,-66,32,40
-20,-84,78,-96
-26,-58,57,18
-33,30,94,-84
48,24,30,-62
-13,20,98,95
-87,-68,-99,-56
-16,27,36,-28
-19,-90,-23,-6
-76,-51,72,-94
-13,21,79,-29
29,-40,-34,-15
-64,-49,-92,-30
-67,62,56,-39
-84,0,77,58
70,38,-12,-32
18,50,50,34
-93,-44,70,37
38,95,32,-5
2,-11,38,-95
77,26,46,32
98,-90,75,31
13,12,76,24
74,45,-89,60
68,75,71,82
69,-33,52,68
96,49,33,-10
43,-22,-7,94
33,-94,47,10
-30,-42,-20,28
63,-7,-82,8
100,-75,-40,-98
53,-63,41,-81
-22,97,58,80
-43,-88,-66,-99
58,-96,-13,95
-53,52,-49,-70
37,68,-27,42
-29,-56,42,40
85,30,-93,16
92,25,-39,-86
-52,86,89,-80
23,36,-83,-78
-20,87,-8,-9
97,48,-82,-62
-85,53,93,73
-66,51,22,-71
-87,90,-21,34
2,99,18,76
-88,-60,-91,66
9,-67,16,75
6,60,52,85
-72,-23,-92,90
65,89,21,94
44,-95,55,58
-9,-79,14,-83
-76,-69,-83,28
31,-49,-45,79
60,86,71,99
-61,-53,-18,-68
15,-85,65,36
64,-30,63,89
-28,-20,-23,93
-68,71,-23,53
-18,20,-18,-2
44,-5,-54,89
-68,-2,24,39
56,7,87,69
65,-25,8,-58
26,57,82,-37
-18,81,70,-67
-94,88,-47,-48
-48,60,-24,-67
-72,-72,-69,19
99,6,-49,13
34,82,16,60
-79,59,-6,20
-11,-81,80,-7
-91,56,34,-25
-39,51,-78,-24
68,-23,7,54
89,-65,27,22
-4,-71,-93,39
-23,18,83,-35
97,-22,15,57
61,-63,-7,-90
-52,69,-24,16
-45,-62,11,-68
-50,45,-30,-14
51,-51,-91,-25
-10,94,79,99
-18,-88,73,21
-37,-62,96,-11
88,-74,79,58
74,-27,-70,55
-64,-17,29,-88
-36,53,-61,-91
-70,60,-25,-57
-45,7,59,-24
87,-1,-42,-9
-1,20,-34,21
-24,-73,99,74
90,-5,-60,-29
71,-27,8,-91
96,40,43,4
-26,-64,-62,49
-40,83,-99,47
-93,-55,-33,49
-88,37,-60,-22
90,-7,73,-66
-44,-85,-5,-53
-84,53,51,-28
-95,62,-81,-35
-100,73,94,-23
-2,91,50,-6
43,88,84,-34
-9,48,-62,19
63,-26,-5,64
99,-89,59,48
-12,18,-49,-98
43,-56,-54,-87
33,-59,-25,38
-40,90,61,-98
-84,-42,-86,71
-58,-2,-71,62
-85,58,14,2
9,94,-33,-68
