75,-16,-42,84
-30,38,-22,64
-75,-96,-13,55
25,-85,-11,53
40,4,96,-54
93,40,100,-58
94,-14,-46,88
71,64,85,-43
-37,58,5,37
-3,-31,63,-21
57,-89,47,-5
-61,26,67,-25
-47,42,82,-40
-16,87,76,-34
-66,-32,21,21
-96,34,84,-42
-83,24,34,8
-13,-72,76,-34
53,-88,11,31
43,8,59,-17
-58,-94,-28,70
67,74,0,42
87,84,2,40
12,32,-47,89
-29,-45,17,25
-57,-56,44,-2
-11,19,57,-15
29,94,81,-39
95,2,82,-40
98,-93,-39,81
-95,26,49,-7
15,54,10,32
-59,-18,85,-43
31,26,-34,76
-61,34,69,-27
-52,37,-57,99
51,-86,93,-51
-4,-53,34,8
80,91,53,-11
-11,-30,58,-16
-11,7,80,-38
29,32,-16,58
-30,7,-53,95
-65,-1,95,-53
-36,-49,29,13
90,3,-13,55
58,-2,3,39
8,-31,27,15
87,-80,-47,89
28,79,-16,58
-77,65,1,41
64,71,28,14
-5,-20,50,-8
-29,-50,85,-43
-14,26,52,-10
5,-1,-36,78
76,-60,52,-10
5,-52,25,17
13,64,23,19
-40,67,24,18
0,-46,35,7
-68,97,-52,94
92,-89,-13,55
-35,-46,17,25
3,8,-12,54
98,-61,100,-58
8,91,7,35
-81,-26,58,-16
-89,-76,60,-18
77,-23,14,28
48,-64,100,-58
-18,88,-33,75
-18,-21,92,-50
-2,-73,-20,62
-56,32,35,7
66,-8,47,-5
99,-53,-37,79
-61,33,42,0
47,62,-1,43
3,99,66,-24
11,21,58,-16
-96,-22,36,6
-82,-62,10,32
83,88,32,10
-31,30,31,11
-8,-80,39,3
63,66,1,41
99,59,4,38
13,41,-37,79
-48,42,96,-54
86,-76,-8,50
20,-67,-52,94
-39,-56,30,12
49,-38,95,-53
64,-1,69,-27
3,33,33,9
-10,-5,0,42
99,-25,40,2
-92,86,-26,68
-46,-45,99,-57
33,28,53,-11
79,85,-44,86
1,-39,86,-44
-77,86,27,15
70,63,-53,95
19,-32,-8,50
47,-69,-9,51
-14,-27,-51,93
6,67,21,21
73,-73,-33,75
-46,28,97,-55
-20,-56,20,22
-70,25,29,13
-76,-98,43,-1
81,63,-2,44
64,-31,7,35
-11,3,65,-23
-5,-24,82,-40
-18,74,39,3
-43,-29,-2,44
3,63,51,-9
25,-53,-1,43
32,75,67,-25
-51,-70,-20,62
-58,50,-19,61
-23,60,33,9
0,0,-26,68
66,-63,96,-54
72,37,-26,68
-48,13,14,28
-99,-96,65,-23
-10,-7,-17,59
-22,-73,98,-56
-5,-12,-47,89
46,46,95,-53
-20,88,34,8
1,17,74,-32
-95,-33,-36,78
26,-41,-49,91
67,46,38,4
13,-54,58,-16
-1,82,-37,79
15,-3,-17,59
22,-19,-29,71
-53,-91,-56,98
-99,65,-24,66
-57,-9,-15,57
67,-61,-18,60
-43,-89,51,-9
-33,43,-6,48
-80,59,51,-9
71,97,52,-10
-38,96,-4,46
-91,99,-36,78
4,90,9,33
27,-9,70,-28
-71,31,14,28
40,-68,40,2
-96,68,39,3
34,-53,17,25
-75,-52,61,-19
-28,8,22,20
-7,-29,86,-44
-81,42,-25,67
-86,19,76,-34
73,-56,3,39
18,95,12,30
42,-2,-46,88
-60,12,21,21
-83,53,-24,66
9,-86,95,-53
-24,19,-36,78
35,47,-20,62
44,-27,-31,73
3,-16,91,-49
-75,-32,14,28
-67,-76,52,-10
-40,13,27,15
6,-86,-18,60
-32,-15,45,-3
-94,-58,-43,85
51,-98,-55,97
-69,10,18,24
-92,87,11,31
47,0,3,39
-12,31,20,22
-21,18,14,28
63,56,81,-39
24,42,32,10
-23,88,-25,67
-42,-23,-12,54
-19,66,-1,43
-44,37,8,34
52,-66,-30,72
-84,53,-5,47
83,34,-20,62
20,-20,35,7
91,-39,-10,52
-53,34,-50,92
61,-71,2,40
-99,4,-12,54
-83,-10,50,-8
41,77,56,-14
39,-38,44,-2
-37,35,-52,94
11,77,89,-47
-60,-86,-20,62
-53,-55,-30,72
-97,6,70,-28
-73,94,85,-43
3,34,56,-14
-55,89,-7,49
83,17,46,-4
62,38,65,-23
-27,-49,6,36
-3,15,88,-46
2,-8,9,33
-72,89,-10,52
-17,88,51,-9
53,28,-11,53
100,43,-7,49
-14,-98,24,18
32,-25,-8,50
-1,48,43,-1
73,2,-3,45
82,17,-20,62
-80,43,60,-18
47,36,33,9
-8,-46,98,-56
-41,-11,-50,92
-38,-48,86,-44
95,-68,-35,77
15,6,-33,75
-97,99,-15,57
31,-85,18,24
34,55,17,25
-84,100,62,-20
-6,86,51,-9
-37,42,-23,65
-18,15,23,19
-57,21,-33,75
94,-43,53,-11
-86,-83,27,15
75,4,55,-13
-70,-25,-1,43
-88,14,44,-2
-69,-81,61,-19
65,14,95,-53
-49,-79,37,5
19,13,76,-34
-35,26,92,-50
97,-26,68,-26
8,-73,99,-57
63,-15,5,37
-24,60,-56,98
-6,-67,62,-20
-5,16,-34,76
9,-44,5,37
56,-38,9,33
-37,-74,-6,48
94,54,13,29
-72,-30,69,-27
41,20,94,-52
-49,-85,97,-55
-61,-3,51,-9
77,91,79,-37
-78,-57,16,26
-86,-40,-44,86
-83,25,14,28
-17,18,-43,85
-43,-55,-1,43
91,76,64,-22
30,-27,12,30
-4,-48,-36,78
62,-58,67,-25
-72,-56,80,-38
-12,-49,57,-15
34,-57,-36,78
56,0,-23,65
-67,12,83,-41
29,76,32,10
56,50,-18,60
79,-83,-45,87
-75,36,-18,60
-56,6,78,-36
93,27,74,-32
